customer_id,region,plan,monthly_fee,signup_date,churn_date
116,South,Pro,29.99,2024-12-08,2025-01-25
117,West,Pro,29.99,2024-05-24,
118,North,Enterprise,99.99,2024-06-04,
119,East,Pro,29.99,2024-02-06,
120,West,Pro,29.99,2024-02-18,2024-08-21
121,North,Basic,9.99,2025-09-04,
122,East,Basic,9.99,2025-07-16,
123,South,Pro,29.99,2025-05-17,2025-07-01
124,West,Enterprise,99.99,2025-10-09,
125,North,Enterprise,99.99,2025-09-28,2025-12-21
126,South,Pro,29.99,2024-10-27,
127,North,Enterprise,99.99,2024-07-12,2025-02-27
128,West,Pro,29.99,2024-07-14,
129,North,Basic,9.99,2024-02-10,
130,North,Enterprise,99.99,2025-11-13,
131,South,Basic,9.99,2024-04-05,
132,West,Enterprise,99.99,2024-11-08,
133,South,Pro,29.99,2025-08-02,
134,North,Basic,9.99,2025-03-01,2025-10-29
135,South,Enterprise,99.99,2024-02-01,
136,West,Enterprise,99.99,2025-03-03,2025-09-15
137,East,Basic,9.99,2024-12-26,2025-07-27
138,North,Pro,29.99,2024-12-22,2025-05-19
139,East,Basic,9.99,2025-09-02,
140,South,Basic,9.99,2024-07-28,
141,North,Enterprise,99.99,2024-01-08,2024-03-03
142,South,Basic,9.99,2024-07-10,
143,West,Pro,29.99,2024-09-21,2025-02-04
144,East,Pro,29.99,2025-04-29,
145,East,Enterprise,99.99,2025-10-13,2025-12-19
146,North,Basic,9.99,2025-06-30,
147,South,Pro,29.99,2024-05-30,
148,South,Pro,29.99,2025-06-04,2025-08-20
149,East,Pro,29.99,2025-03-05,
150,South,Enterprise,99.99,2024-01-22,
151,North,Basic,9.99,2025-03-06,2025-11-04
152,South,Enterprise,99.99,2025-03-08,2025-10-05
153,North,Basic,9.99,2025-03-31,
154,North,Pro,29.99,2025-02-22,2025-09-04
155,West,Basic,9.99,2025-01-15,2025-10-13
156,North,Basic,9.99,2024-04-21,2025-12-13
157,South,Enterprise,99.99,2025-04-01,
158,South,Pro,29.99,2025-03-18,2025-12-18
159,West,Pro,29.99,2025-06-19,2025-11-14
160,North,Pro,29.99,2024-07-27,2025-10-25
161,West,Enterprise,99.99,2025-04-18,2025-08-02
162,North,Enterprise,99.99,2024-11-04,
163,South,Pro,29.99,2025-04-27,2025-10-01
164,South,Enterprise,99.99,2025-02-19,2025-04-01
165,North,Pro,29.99,2025-11-15,2025-12-17
166,West,Enterprise,99.99,2025-08-18,
167,West,Basic,9.99,2024-09-15,
168,South,Enterprise,99.99,2024-03-28,2025-01-20
169,East,Enterprise,99.99,2024-12-14,2025-05-20
170,South,Basic,9.99,2025-02-28,
171,East,Enterprise,99.99,2024-05-17,
172,South,Enterprise,99.99,2024-04-17,
173,West,Enterprise,99.99,2024-10-12,2025-05-20
174,South,Basic,9.99,2024-05-06,
175,West,Pro,29.99,2025-08-28,
176,East,Pro,29.99,2025-10-09,
177,West,Basic,9.99,2025-05-03,
178,East,Pro,29.99,2025-10-29,
179,West,Pro,29.99,2024-05-26,
180,North,Enterprise,99.99,2024-08-08,2025-05-06
181,West,Basic,9.99,2025-06-23,
182,North,Enterprise,99.99,2025-11-16,
183,East,Basic,9.99,2024-04-28,
184,East,Enterprise,99.99,2024-10-26,
185,South,Basic,9.99,2025-08-09,2025-09-21
186,West,Pro,29.99,2024-12-04,
187,East,Pro,29.99,2025-10-25,
188,West,Basic,9.99,2025-04-03,
189,South,Enterprise,99.99,2024-11-19,2025-03-24
190,West,Pro,29.99,2025-02-02,
191,West,Pro,29.99,2024-08-13,
192,West,Basic,9.99,2025-08-23,
193,West,Basic,9.99,2024-08-27,
194,South,Pro,29.99,2024-02-28,
195,South,Basic,9.99,2025-09-17,2025-10-28
196,East,Pro,29.99,2025-02-25,
197,West,Enterprise,99.99,2025-04-10,
198,West,Basic,9.99,2024-12-11,2025-02-01
199,North,Basic,9.99,2024-12-24,2025-01-26
200,South,Basic,9.99,2025-03-14,
